Date,Unit1,Unit2,701,702,701a,701b,701c,702a,702b,702c,301-302,303_304,305_306,401_402,403_404,405,508,PAL21,PAL22D,PAL25D,PAL24D,PAL28D,PAL2D,PAL3D,PAL4D,PAL9D,PAL13D
7/6/2016 3:00,59.57999802,54.80999756,495.3250732,460.1899719,0,0,0,0,5.998409748,0,98.21910858,150.0157776,166.1071472,130.372757,130.5639191,216.722229,69.09484863,8.916237831,9.846634865,10.76230907,9.619122505,8.774847031,10.11402702,8.825639725,9.946702957,9.42605114,10.16130543
7/6/2016 3:10,59.65999985,54.84000015,496.4194031,460.4086914,0,0,0,0,6.006402969,0,98.167099,150.81633,165.4505005,122.2865601,130.5296936,227.3600922,68.50026703,8.971802711,9.573879242,10.63582611,9.927503586,8.712919235,10.14266014,8.771184921,9.901200294,9.452760696,10.17724991
7/6/2016 3:20,60.05999756,54.63999939,496.6404114,460.9518433,0,0,0,7.644116879,6.00946331,0,99.24308014,149.4854126,165.9514923,125.2927399,131.6278839,224.1947021,78.17214203,8.957263947,9.589749336,10.80496216,10.1631918,8.768446922,10.13367081,8.831595421,9.93312645,9.466004372,10.23721695
7/6/2016 3:30,59.90999985,54.72999954,495.9132385,460.0788879,0,0,0,16.08990288,6.010839462,0,99.07121277,150.0692596,165.8037567,117.0509949,132.6444244,225.9705048,70.62658691,8.942577362,9.676906586,11.00609875,9.768281937,8.703374863,10.13241291,8.855790138,10.01447678,9.464525223,10.23939991
7/6/2016 3:40,59.66999817,54.71999741,494.1306763,459.5693054,0,0,0,0,5.974349499,0,98.00398254,150.3682251,163.7398224,121.9982071,131.4423523,226.7495422,69.20535278,8.968658447,9.619973183,10.90118313,9.401412964,8.739222527,10.1297493,8.745141029,9.961316109,9.34592247,10.15527534
7/6/2016 3:50,59.43999863,54.64999771,493.5775452,459.664917,0,0,0,0,5.956410885,0,97.03462219,150.9955444,166.6167145,121.5678635,130.6864319,224.1556396,70.56307983,8.969213486,9.810306549,10.91690636,9.589859962,8.741034508,10.12845421,8.772665024,9.858880043,9.359018326,10.18775558
7/6/2016 4:00,59.43000031,54.65999985,493.8226013,460.0174255,0,0,0,0,5.95972538,0,96.67304993,152.2010498,166.8843079,127.1980667,128.4890137,231.359726,66.96705627,8.958151817,9.557230949,10.75198746,9.368377686,8.761270523,10.10999489,8.762639046,9.924137115,9.357575417,10.16648483
7/6/2016 4:10,59.62999725,54.75999832,494.9352722,461.4028931,0,0,0,0,5.982346535,0,97.83140564,150.7805634,166.6820679,127.6709442,127.5654678,221.2297058,68.79143524,8.994702339,9.751745224,11.00942802,9.384987831,8.594390869,10.0718174,8.862670898,9.909635544,9.495674133,10.23037338
7/6/2016 4:20,59.73999786,54.73999786,496.1799316,459.9240112,0,0,0,0,5.989989281,0,97.9916153,150.0059662,166.4081726,119.1439362,133.9555206,224.3207703,64.44168091,8.967326164,9.864725113,10.82464314,9.238862038,8.810065269,10.07322311,8.824641228,9.902495384,9.427383423,10.1906786
7/6/2016 4:30,59.68999863,55.00999832,493.8377991,461.7372131,0,0,0,0,5.982429028,0,98.26226044,149.7247314,166.5240936,128.2115326,129.6042175,222.7422791,65.66171265,8.970507622,9.618086815,10.91176414,9.321913719,,10.0750351,8.824234009,9.937714577,9.433154106,10.20462513
7/6/2016 4:40,59.30999756,54.45999908,494.6325684,458.1113586,0,0,0,0,5.99285078,0,98.020401,149.7555695,166.4191437,126.5537643,129.0251312,230.3466187,64.61677551,8.928963661,9.88181591,10.83370686,9.060292244,,10.08557892,8.806847572,9.938971519,9.42486763,10.18368626
7/6/2016 4:50,59.66999817,54.5,494.3895264,459.3441467,0,0,0,0,5.980526924,0,98.59882355,150.8018036,167.7954865,114.9858932,134.3047943,223.8977203,90.21723938,8.982419968,9.835647583,10.98889637,9.128842354,,10.09704685,8.799633026,9.893580437,9.443401337,10.1822443
